lake_id,lake_name,lake_area (m2),lake_elevation (m),lake_juris_name,lake_max_depth (m),lake_utm_east,lake_utm_north,survey_date,benthic_sample,fish_presence,max_survey_date,ramurasi
70605,MIDDLE BRANIGAN LAKE,76037,2294,YOSEMITE,30,264945,4212760,9/10/00,Yes,No,9/10/00,No
70606,TEN LAKES #2,76402,2727,YOSEMITE,17,277967,4198240,6/18/00,Yes,Yes,6/18/00,No
70607,,78422,1760,YOSEMITE,13.2,256789,4214480,8/20/00,Yes,No,8/20/00,No
70608,SADDLE HORSE LAKE,80703,2213,YOSEMITE,4.5,274325,4208510,7/5/00,Yes,Yes,7/5/00,No
70609,VOGELSANG LAKE,80731,3158,YOSEMITE,10.25,293640,4184760,8/28/01,Yes,Yes,9/1/12,No
70611,SISTER LAKE,81514,2912,YOSEMITE,12,282714,4210810,8/9/00,Yes,No,8/9/00,No
70612,MAHAN LAKE,84664,2378,YOSEMITE,9.5,265805,4215250,9/12/00,Yes,No,6/4/07,Yes
70614,,89326,2600,YOSEMITE,8.5,266691,4212040,7/19/00,Yes,No,7/21/12,Yes
70615,TEN LAKES,90726,2865,YOSEMITE,17,278971,4197720,6/20/00,Yes,Yes,6/20/00,No
70618,"YOUNG LAKE, UPPER",94037,3115,YOSEMITE,10.5,294979,4201230,9/11/00,Yes,Yes,9/11/00,No
70619,SOLDIER LAKE,94296,3237,YOSEMITE,29,293262,4213660,7/24/00,Yes,No,8/31/15,Yes
70624,OTTER LAKE,100195,2715,YOSEMITE,6,267134,4218970,9/12/00,Yes,No,7/18/05,Yes
70625,ARDETH LAKE,101622,2573,YOSEMITE,11,263836,4214920,9/24/00,Yes,Yes,8/11/13,Yes
70626,WILMA LAKE,101705,2422,YOSEMITE,11,268290,4217000,7/25/00,Yes,Yes,7/25/00,No
70627,LITTLE BEAR LAKE,102736,2298,YOSEMITE,10.5,255759,4218440,7/31/00,Yes,No,7/20/12,Yes
70628,SPILLER LAKE,102772,3249,YOSEMITE,14,291991,4213730,7/25/00,Yes,No,8/17/07,Yes
70629,,103755,2979,YOSEMITE,28,276862,4221510,8/19/00,Yes,No,7/11/14,Yes
70632,AVONELLE LAKE,107682,2541,YOSEMITE,30,268097,4215170,7/22/00,Yes,No,7/20/12,Yes
70633,"YOUNG LAKE, LOWER",108781,3018,YOSEMITE,10,293779,4201310,9/11/00,Yes,Yes,8/21/12,No
70636,BREEZE LAKE,115847,2936,YOSEMITE,22,288784,4161460,6/29/01,Yes,No,9/15/16,No
70638,VIRGINIA LAKE,124625,2815,YOSEMITE,10.5,286762,4204360,7/5/00,Yes,Yes,8/26/17,No
70639,"MCCABE LAKE, LOWER",128809,2993,YOSEMITE,8,293804,4207660,7/9/00,Yes,Yes,6/26/12,No
70640,"CHAIN LAKE, UPPER",131996,2832,YOSEMITE,16,288364,4160450,6/26/01,Yes,Yes,6/26/01,No
70641,DOG LAKE,140557,2798,YOSEMITE,6.5,294261,4196320,9/9/00,Yes,Yes,9/4/17,Yes
70642,ROCK ISLAND LAKE,143501,2996,YOSEMITE,5.5,282982,4216840,8/15/00,Yes,No,8/23/14,Yes
